"ASDR per 100 000 - Total deaths, ICD chapter 10 (Diseases of the respiratory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,9.9,14.6,15.2,18.9,21.2,27.1,33.1,36.9,33,29.8,48.5,39.7,48.9,51.1,67.5,71.5,68.5,92.9,85.6,,,101.1,86.9,95.6,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,52.1,41.2,38.1,28.5,,,30.6,63.8,35.3,29.7,34.9,15.6,36.4,26.4,31.4,41.2,34.3,27.1,,,20.2,46,35.9,52.4,57.9,55.1,42.4,43.5,32,25.7,51.4,,,,,, 
Argentina,,87.4,85,85.1,81.7,84.8,85.5,82.8,79.4,90.4,77.9,82.3,83.6,86.1,76.8,78.8,73.1,83.3,78.3,69.3,62.6,63.7,49.4,52.2,49.3,47.9,48.8,46.3,53.8,54.2,45,46.6,52.7,52.2,43.4,44.6,49.7,49.5 
Armenia,50,50.2,44.7,40.4,41.1,43,42.9,47.6,55.6,50.2,54.7,,,48.9,46.2,33.1,38.1,41.3,35.4,43.5,51.6,49,49.7,59,51.8,50.2,61.6,64.6,73.1,73.2,87.9,86.9,,,81.8,91.6,, 
Aruba,,30.1,32,17.9,34.2,29.9,29.8,37.5,14,20.8,16.9,22.7,24,18.9,22,29.4,20.8,24.8,,,,26.3,,,,,36.2,,,20.1,,,,,,,, 
Australia,,28,28.1,26.3,28.2,27.7,27.3,26.3,27.5,29.3,29,,32.2,33.2,34,32.4,34.7,31.9,33,45.7,38,35.9,39.3,37.2,42.2,38.5,39.9,49.3,43,41.6,39.6,48.5,43.9,43.8,51.2,43.8,46.2,46.1 
Austria,19.4,20.3,17.2,18.9,18.7,19.6,20.5,21.1,21.2,23.8,23.6,25.8,25.7,29.6,23.8,23.4,24.8,24.6,22.1,22.4,22.5,22.6,23,26,26.5,27.2,29.2,28.1,27.1,30.5,32.6,37,33.3,39.8,37.4,40.2,38.7, 
Azerbaijan,,,,,,,,,,44.7,,,51.5,51.7,52.5,57.2,68.3,62.1,66.2,78,85.2,94.1,101.9,95.8,86.8,79.8,80.2,88.2,91.6,84.9,97,101.5,,,106.6,114.1,, 
Bahamas,,,,26.1,34.1,29.4,34.7,34,26,29.1,29.2,34.1,26.6,29.6,51.7,50.2,36.8,40.6,61.3,53.2,50,67,56.4,93,,,,,,54.5,,77.4,72.8,75.7,,115.1,118.6, 
