"ASDR per 100 000 - Total deaths, ICD chapter 11 (Diseases of the digestive system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,5.5,8.3,8.4,8.8,10.2,9.9,10.5,11,10.9,11.8,14.3,12.6,13.8,14,17.9,19.4,18.1,22.7,20.9,,,25.8,25.6,26.7,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,13.4,18.2,13,23.2,,,13.7,22.1,25.3,20.6,27.5,26.2,16.1,32.4,23.4,29.6,41.1,13,,,36.1,23.4,42.4,35.3,24.7,36.4,30.5,22.5,8.5,33.8,35.1,,,,,, 
Argentina,,29.4,27.2,26.4,26.1,25.6,25.2,25.2,26.6,27.6,26.5,25.8,25,26.7,26.5,27.2,26.8,28.2,28.6,29,31.8,31.7,30.6,31.7,33.2,33.4,33.9,35.9,37.5,39.7,37.7,37.9,42.5,42.7,40.9,44.9,41.9,43.7 
Armenia,43.2,39.6,40,40.2,40.1,45.2,43,43.3,42.6,37.8,43.1,,,29.5,29.6,21.9,19.5,20.7,22.1,24.7,26,25.9,29.8,31.1,28,27.4,26.6,24.4,25.4,26.8,26.4,27.1,,,25.2,26.9,, 
Aruba,,26.1,23.1,19,21.6,26.5,23.9,29.1,16.1,14.4,11.9,15.5,21.3,18.7,23.5,18.2,15.7,27.3,,,,26.1,,,,,15.8,,,25.1,,,,,,,, 
Australia,,12.5,12.5,12.7,12.4,12.7,12.9,13,13.2,13.3,13.4,,13.8,13.9,14.2,13.2,13.9,14.8,14.6,14.9,15.1,15.2,16,16,17.1,18.3,18.8,20.4,20.5,20.6,20.7,21.5,21.5,21.3,23.4,22,22.9,21.7 
Austria,15.8,16.2,16,17.6,17.9,17.9,19.4,20.2,19.3,21.5,20.7,23.1,23.7,26.1,25.9,25,26,25.3,27.2,27.8,30.2,31.3,32.9,33.9,35.7,35.6,34.7,35.7,34.2,36.2,38.2,40.7,42.9,45,44,45.7,48.1, 
Azerbaijan,,,,,,,,,,46.8,,,47,44.9,45.4,43.6,46,45,46.1,49.1,49.2,47.5,42.4,42.4,42.1,36.8,38.8,36,33.3,32.7,38,42.2,,,38.8,41,, 
Bahamas,,,,23.5,23.4,26,24.5,24.6,24.8,25.6,21.7,24.9,22.6,26.8,25.3,32.6,32.9,30,32.6,33.6,23.2,36,25.2,42,,,,,,46.4,,36,38.4,49.5,,45,78.4, 
Bahrain,,,7,11.9,12.8,10.1,11.8,15.7,17.6,15.6,15.2,19.1,21.7,36.2,27.2,23.8,30.8,30.5,40.5,46.1,,,,,,,,,29.8,21.1,,18.1,,,,,, 
Barbados,,,,20.5,17.9,19.2,19.1,23,24,21.7,23.2,20.9,18.2,21.6,22.7,19.5,26.9,,,,,29.1,23.9,28.8,25,24.6,28.2,32,33.8,26.4,23.2,30.5,18.5,25.6,25,32.9,37,33.2 
Belarus,,,27.9,30.3,,42.1,39.6,37.8,35.3,34.9,,,,29.6,31.1,24.5,23,23.3,21.7,21.9,20.1,20.7,19.3,20.3,19.3,19.3,17.9,17.3,16.7,16.7,17.4,19.7,,,18.9,20.4,, 
Belgium,,19.1,17.7,19,20.4,19.5,19.1,20.4,21.1,21.1,20.8,22.1,21.8,22.5,23,23.1,23.5,22.8,23.9,24.9,23.7,23.9,24.2,23.9,22.7,23,23,24.6,24.5,23.7,25.3,26.2,27.6,28,28.3,28,29.2,28.9 
Belize,,42,42.5,52.3,36.8,43.9,42.2,36,50.1,42.2,50,40.6,36.6,39.4,40.2,38.6,38.5,32.4,27.7,31.8,25.2,28,15.3,22.1,,21.2,16.9,17.2,,16.9,21.5,,33.3,19.1,30.1,,23.7, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,14.9,,,14.9,,,,,,,,,,,,,,,,,,,,28.8,28,31.8,31.7,33,30.7,34,,,,,, 
Brazil,,30.5,30.9,31.5,31.9,32.8,33.2,33.3,33.8,34,34.3,34.4,34.5,34.4,34.7,35,35.4,35.5,35.5,35.8,36.7,36.5,37.1,37.7,36.1,35.7,35.9,31.4,32.7,32.1,34,33.5,33.4,32.1,32.6,33.1,33.5,31.3 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,16.8,16.2,17.1,14.3,9.8,15.3,13.8,15.7,10.6,12.6,11.9,20.4,28.1,11.6,10.9,13.9,13.3,20.1,16.3,18.5,,,,,,,,,,,,,,,,, 
