"ASDR per 100 000 - Total deaths, ICD chapter 12 (Diseases of the skin and subcutaneous tissue), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,0.1,0.1,0,0.1,0.4,0.3,0.2,0.3,0.2,0.3,0.2,0.1,0.3,0.1,0.2,0.3,0.9,1.2,0.6,,,0.6,1.1,1.5,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,7.9,10.9,0.8,6.7,,,2.5,5,6.2,8.6,6,1,2.4,6.4,0,1.1,8.3,3.3,,,10.1,5.9,12.6,7.3,2.1,1.4,0,1.3,2.9,0,2.1,,,,,, 
Argentina,,3.5,2.9,2.6,2.6,2.2,2.2,2.2,2.1,1.9,2,2.2,2.6,2.5,1.7,1.3,1.1,1.1,0.9,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.5,0.6,0.6,0.6 
Armenia,0.6,0.5,0.7,0.3,0.6,0.2,0.4,0.4,0.2,0.2,0.3,,,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.5,0.7,0.4,0.5,0.5,0.6,0.4,,,0.3,0.5,, 
Aruba,,3.9,3.2,1.6,4.1,2.6,4.1,5.4,6.4,5.7,3.7,1.1,5.4,6.8,8.6,11.8,10.3,8.2,,,,8.2,,,,,3.3,,,3.6,,,,,,,, 
Australia,,1,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8,0.8,,0.9,0.8,0.9,0.8,0.7,0.9,0.8,0.7,0.6,0.9,0.8,0.7,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.2 
Austria,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.5,0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.8,0.8, 
Azerbaijan,,,,,,,,,,0.1,,,0.2,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0,0,0.1,0.2,0.3,0.6,0.5,0.6,,,0.5,0.7,, 
Bahamas,,,,4.2,5.2,5.4,5.8,7.4,4.8,8,6.7,12,5.8,4.2,7.7,9.8,6.4,5,10,5.6,5.4,5.2,5.9,9.2,,,,,,0.7,,8.2,1.2,6.5,,2.1,3.2, 
Bahrain,,,2.7,3.3,7.9,6.7,7.7,6.6,6.4,7.4,7,17,16.4,19,12,20.9,18.7,15.8,16.7,13.2,,,,,,,,,15.5,16.3,,4.1,,,,,, 
Barbados,,,,10.9,5.7,8.5,6.3,9.6,9.3,13.7,13,14.6,9.8,13.4,11.6,6.3,14.2,,,,,4.5,6.8,3.2,2.3,6.3,3,5,4.5,5.1,4,5.9,5.5,5.8,6,6.9,7.3,9.4 
Belarus,,,0.5,0.5,,0.5,0.7,0.6,0.6,0.4,,,,0.4,0.4,0.5,0.5,0.5,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.4,0.5,,,0.6,0.2,, 
Belgium,,0.9,0.8,0.9,0.8,0.8,0.9,1.1,1,1,1.1,1.4,1.6,1.8,1.7,1.6,1.8,1.3,1.2,1.8,1.9,2.1,2.1,2.1,2.4,2.1,2.3,2,1.9,1.9,1.9,1.7,1.6,1.5,1.1,1.3,1.2,0.9 
Belize,,1.8,2,2.8,8.4,2.6,4,2.5,1.2,1.1,3.7,2.8,1.8,3.2,1.2,0.3,3.5,1.3,1.9,0.8,2.9,0,0,0,,0.8,5.3,1.3,,1.6,0.8,,0,1,0.3,,2.7, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,0.5,,,0.2,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,0.2,0.2,0,0.1,,,,,, 
Brazil,,2.4,2.1,2,2,1.9,2,1.9,1.7,1.7,1.8,1.6,1.5,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1.1,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.6,0.7,0.6,0.6 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,3.6,3.7,7.1,3,1.5,2.5,0.8,0.6,0.2,0.6,0.9,1.3,0,0,1.1,0,0,0,0,2.7,,,,,,,,,,,,,,,,, 
Bulgaria,,,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.2,0.4,0.3,0.4,0.1,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5, 
Canada,,,,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.6,0.4,0.4,0.4 
Cabo Verde,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,,1.8,1.3,1,0.8,0.8,1.4,1.1,1.3,1.2,1.4,1.6,1.5,1.5,1.7,1.6,2.5,4.1,2.3,1.1,1.1,1.1,1.2,0.9,1,1.1,1.5,0.8,1.2,1.6,1.3,1.1,1.6,1.5,1.3,1.1,0.9, 
Colombia,,2.5,2.6,2.7,2.6,3.1,3.3,3.3,3.2,3.3,3.4,3.2,2.7,2.6,2.8,3,2.2,1.8,1.2,0.9,0.5,0.5,1.1,1.1,1.1,2.4,2.4,2,2.3,2.8,3.6,3,2.2,,,,, 
Costa Rica,,,1.7,1.6,1.4,1.6,1.8,1.7,1.3,1.9,1.7,1.6,2.3,1.8,1.3,1.7,1.8,2.2,1.9,2.1,2.5,3.3,3.3,2.9,2.4,3.2,6.3,4,5.2,5.6,5.1,6.7,3.8,3.5,3,1.5,2.5, 
