"ASDR per 100 000 - Total deaths, ICD chapter 13 (Diseases of the musculoskeletal system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,0.6,0.4,0.6,1,1.1,1.1,1.3,1.4,1.4,1.2,1.1,0.9,1.5,1.2,1,1.1,2.4,1.9,0,,,0,0,0,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,3.9,4.8,6.7,2.1,,,0,1,2.6,1.4,0,0,1.5,2.4,1.1,0,2.8,0,,,1.3,2.1,4.2,0,0,4.5,3.6,0,0,3.4,1.7,,,,,, 
Argentina,,2.1,2,2.1,1.9,1.8,2,1.9,1.8,1.7,1.5,1.5,1.6,1.8,1.5,1.3,1.4,1.5,1.4,1.7,1.6,1.3,1.5,1.3,1.5,1.8,1.9,1.6,1.8,1.9,1.6,1.5,1.4,1.5,1.5,1.7,1.4,1.6 
Armenia,1,1.6,1.1,1.5,1.3,1.3,1.6,1.9,1.5,1.6,1.5,,,2.1,2.6,1.6,1.2,1.3,1.2,0.6,0.9,0.9,1.1,0.7,1.1,1,0.9,1.1,1,1,1.1,1.3,,,1,1.2,, 
Aruba,,5.5,0.6,1.6,0.6,0,5,2.2,0,0,0.9,0,1.2,1,2.1,0,3.8,3.1,,,,0,,,,,1.6,,,1.6,,,,,,,, 
Australia,,2.6,2.5,2.5,2.5,2.6,2.7,2.6,2.8,2.7,2.9,,2.9,2.9,3,2.8,2.8,2.9,2.7,2.3,2.9,2.8,3.1,2.8,3,2.9,3,3.2,3.1,3,2.8,3.1,3,2.9,3.1,2.9,3,2.9 
Austria,1.4,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.8,1.3,1.3,1.5,0.8,0.9,0.8,0.9,0.9,0.9,1.1,1.1,1.2,1.6,1.2,1.4,1.3,1.5,1.4,1.4,1.6,1.6,2,2,1.9,1.9, 
Azerbaijan,,,,,,,,,,0.2,,,0.6,2.1,0.9,1.2,0.9,0.9,1.5,0.8,1.3,0.8,0.5,0.3,0.1,0.1,0.3,0.4,0.2,0.4,0.3,0.7,,,0.8,0.6,, 
Bahamas,,,,5.6,3.3,3.4,1.8,4.2,4.3,4.4,2.9,2.6,3.3,4.6,3.6,6.2,4.7,8.6,5.3,3.6,2,4.3,2,2.1,,,,,,1.7,,1.5,1.3,1.8,,0,5.3, 
Bahrain,,,2.3,2.2,2.1,0.9,1.4,1,0.5,0.9,1.1,0.4,1.2,0,0.5,0,1,1.6,0.1,0.5,,,,,,,,,0.7,0,,0,,,,,, 
Barbados,,,,4,4.9,4.3,7.6,5.1,3.9,2.8,1.8,5.3,6.1,9.1,2.2,2.1,3.2,,,,,2.6,3.5,1.4,2.2,0.7,3.2,2.9,3.7,3.1,2.7,3.5,2.7,4.1,2,2.8,1.6,2.3 
Belarus,,,1,1.1,,1.4,1.3,1.2,1.5,1.4,,,,1.3,1.7,1.3,1.3,1.1,1.3,1.2,1.4,1.6,1.4,1.6,1.5,1.7,1.5,1.5,1.4,1.4,1.4,1.5,,,1.1,0.7,, 
Belgium,,2.1,1.9,1.9,2.2,1.8,1.7,1.9,1.9,1.7,1.8,1.9,1.9,2,2.2,2.2,2.3,1.9,2.1,2.9,2.8,3.2,2.8,3,1.6,1.6,1.7,1.6,1.5,1.2,1.3,1.1,1.2,1.1,1.4,1.3,1.6,1.6 
Belize,,1.3,4.2,1.8,3.4,1.7,4.1,5.2,4.3,1.3,1.3,1.4,1,1.2,0,1.5,0.3,0.8,0.5,0,0,0,1.7,0,,0.3,1.1,0.5,,0,1.3,,0,4.8,0,,1.2, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,1,,,0.8,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.3,0.4,0.3,0.3,0.5,,,,,, 
Brazil,,2.6,2.6,2.6,2.4,2.5,2.7,2.5,2.5,2.4,2.4,2.1,2.1,2.2,2.2,2.1,2,2,1.8,1.9,2.1,1.6,1.5,1.5,1.5,1.4,1.5,1.1,1.1,1.1,1.2,1.1,1.6,1.2,1.2,1.2,1.2,1.1 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,3.1,5,5.8,1.5,5,4.5,1.8,1.5,0.8,1.1,3.5,4.1,1.8,1.9,1.2,1.5,3.1,2.3,3.2,0.6,,,,,,,,,,,,,,,,, 
Bulgaria,,,0.5,0.3,0.4,0.5,0.3,0.3,0.4,0.5,0.6,0.7,0.3,0.3,0.4,0.3,0.5,0.4,0.4,0.4,0.7,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.5, 
Canada,,,,2.4,2.1,2.4,2.2,2.3,2.4,2.5,2.7,2.8,2.6,2.9,2.9,2.9,2.8,2.2,2,2.3,2.2,2.2,2.2,2,2,2,2,2.2,2.1,2.3,2.3,2.2,2.1,2.1,2.1,2,2,2 
Cabo Verde,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
