"ASDR per 100 000 - Total deaths, ICD chapter 15 (Pregnancy, childbirth and the puerperium), female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,0,0,0.2,0.4,0.4,0.5,0.1,0.1,0.3,0.1,0.5,0.1,0.5,0.3,0.5,0.5,0.8,1,0.6,,,2.4,1.8,1.7,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,0,0,0,2,,,0,0,1.5,0,0,0,0,0,0,0,0,0,,,4.8,0,0,0,3.1,0,0,0,0,0,2.2,,,,,, 
Argentina,,1.6,1.5,1.3,1.4,1.6,1.6,2.1,1.6,1.7,1.8,1.5,1.7,1.8,2,1.8,1.4,1.7,1.5,1.5,1.9,1.8,1.6,1.8,2,2.2,2.4,2.3,2.2,2.2,2.6,2.7,2.7,2.9,3.4,3.6,3.7,4.3 
Armenia,0.9,0.4,0.5,0.5,0.3,0.4,0.3,0.8,0.9,0.4,0.6,,,0.5,0.2,0.3,0.9,0.6,0.5,0.8,0.5,0.9,0.7,0.8,0.5,1,1.8,1.5,1.2,1.8,1.4,0.9,,,1.1,1.3,, 
Aruba,,0,0,0,0,3.9,0,0,0,0,0,0,2.6,0,0,0,0,0,,,,0,,,,,0,,,0,,,,,,,, 
Australia,,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3 
Austria,0.1,0.1,0.2,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.5,0.4,0.2, 
Azerbaijan,,,,,,,,,,0.6,,,0.7,0.5,0.5,0.6,1,1.2,1.2,1,1.4,1.3,1.7,1.5,0.8,0.5,0.4,1.5,1,1.8,1.7,2.4,,,2.2,3.4,, 
Bahamas,,,,1.5,1.5,0,2.7,3.7,1.6,2.2,0,2.4,1.1,1.1,0,6,1.2,0.7,0.9,0,0,2.4,0.6,0.6,,,,,,2.1,,0.7,0.7,1.3,,3.2,0, 
Bahrain,,,0.1,0.6,0.3,0.4,0.2,0.5,0.5,0.6,0,0,0.8,0.8,0.8,0.8,0.6,1,0.6,0.7,,,,,,,,,0,0.5,,1.2,,,,,, 
