"ASDR per 100 000 - Total deaths, ICD chapter 17 (Congenital malformations, deformations, abnormalities), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,1.8,1.9,2.4,3.9,2.6,2.1,2.1,2.2,1.6,2.1,2.3,3.1,3.5,3.8,3.5,3.7,3.2,3.9,3.8,,,2.8,2.6,3.4,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,5.6,3.3,3.3,3.2,,,2.2,3.7,7.7,2.1,4.2,4.3,7.3,1,5.1,3.1,0,3.4,,,5.6,7.7,3.2,1.3,5.8,8,2.6,0,0,1.1,1.1,,,,,, 
Argentina,,6.2,6.7,6.4,6.4,6.7,6.8,6.9,6.8,6.3,6.5,6.5,7,7.2,7.4,7.6,7.7,7.8,7.9,7.8,8.3,8.2,8.1,8.2,8.2,8.6,8.4,8.2,8.2,7.8,7.8,7,7.5,8.1,8.2,9.1,8,9.5 
Armenia,11.8,11.4,13,13.6,13.3,14,12.9,10.3,7.7,5.9,7.3,,,7.3,7.7,7.9,9,7.4,6.2,5.5,4.3,5,3.7,4.8,5.1,6.1,5.9,5.7,6.9,8.1,7.7,8,,,9.2,8.3,, 
Aruba,,7.8,8.1,3.3,2.3,4.9,1.4,1.5,4.8,1.5,3.9,0.9,3.1,2.2,1.5,0,1.4,5.1,,,,2.8,,,,,5.3,,,2.8,,,,,,,, 
Australia,,2.5,2.8,2.8,2.6,2.8,3.1,3.3,3.2,3.2,3.1,,3.4,3.5,3.4,3.6,3.9,4.5,3.9,4.7,4.2,4.2,4.8,4.7,5.2,5.1,5.3,5.6,5.7,6.1,5.9,7,6.6,7.3,7.5,7.1,7.1,7.7 
Austria,3.8,3.6,3.7,3.9,3.5,4.2,4,4.2,3.9,3.3,3.1,3.8,4,3.9,3.6,3.7,4.1,4.2,4.5,4.1,4.4,4.3,4.6,4.6,5.9,5.6,6.1,5.7,5,6.2,6.7,7,7.9,7.7,7.9,7.2,8.1, 
Azerbaijan,,,,,,,,,,2,,,3.9,2.9,2.4,2.3,1.9,1.8,2,2.2,2.4,3.6,4.6,4.7,4.9,4.9,6.2,7.1,6,6.5,6.9,7,,,6.9,7.2,, 
Bahamas,,,,4.5,3.3,2.9,3.8,2.7,3.4,4.1,6,5.8,6.7,6,6,4,4.4,1.4,4.3,8.2,3.9,8,7.5,2.3,,,,,,8.4,,2.3,6.8,4.3,,7.3,6.2, 
Bahrain,,,5.4,3.9,4,3.9,4.2,4.9,5.1,7.3,4.9,6,5.8,6.8,5.7,8.1,6.4,8.8,6.6,7.8,,,,,,,,,12.2,9.4,,6,,,,,, 
Barbados,,,,11.2,6.8,6.7,8.8,4.9,9.6,2.4,4.4,8.3,2.8,5.6,8.8,0.8,3.9,,,,,6.1,5.8,4.3,5.8,8.8,5.8,8.5,8.3,6.1,8.5,5.2,11,6.2,6.9,7.1,7,10.3 
Belarus,,,3.2,3.1,,3.5,3.6,4.2,3.7,4.3,,,,6.7,7.7,8,7.8,10.2,10,9.8,9.6,9.1,9.5,9.3,9.6,9.3,8.6,8.4,9.6,9.7,9.9,10.2,,,10.2,9.1,, 
