"ASDR per 100 000 - Total deaths, ICD chapter 2 (Neoplasms), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,56.4,74.7,80.5,74.2,87.4,88.6,95.6,102,94.4,84.7,104.2,94.1,91.7,85.7,93.7,83.4,70.4,78.8,82,,,100.9,106.9,95.8,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,101.9,146.3,106.1,119.2,,,91.6,115.3,119.6,85.3,94.6,139,113.4,103.6,99.9,128.9,109,102.1,,,107.1,143.2,91.7,112,109.1,120.1,120.1,57.2,119.9,91.6,127.9,,,,,, 
Argentina,,120.1,119.1,119.8,120.2,120,122.6,123.3,124.5,128,128.8,131,130.8,131.9,131.7,133.1,135.5,137.4,138.8,137.8,143.9,139.8,142.8,140.9,142.7,144.6,142.1,144.4,143.3,146,143.8,142.8,145.6,140.9,140.2,156.4,146,155.2 
Armenia,138.3,150.3,142.7,141.5,145.3,149,151.1,150.8,146.6,143.9,144.7,,,124.6,122.5,102.4,99.4,104.3,101.4,98.2,101.6,97.4,91.5,105.6,112.4,117.1,124,115.3,113.7,112.3,104.9,108.2,,,100.9,100,, 
Aruba,,107.9,113.5,90.7,112,104.7,121.1,111.3,117.7,134.4,114,110.4,120.9,141.4,138.1,112.4,68.5,124.5,,,,144.2,,,,,133.4,,,101,,,,,,,, 
Australia,,109.9,108.6,111.4,111.7,115.9,117.1,117,121.2,119.4,123.8,,125.5,126.2,129.6,130.8,131.7,133.2,136.8,137.8,141.9,141.6,147.7,145.3,145.8,146.2,146,149.8,148.4,148.5,147.3,151.5,150.8,149.4,148,145.5,147.3,143.3 
Austria,112.1,114.2,118,117.4,121.3,121.6,121.9,124.1,126.7,124.3,126.9,130,133.7,134.9,133.1,133.8,137.7,139.5,141.4,144.6,146.2,149.5,151.5,156.9,156.8,157.1,157.3,157.9,158.2,160.1,158.1,159.4,164.9,162.2,164.5,165.5,167.8, 
Azerbaijan,,,,,,,,,,68.8,,,90.7,96.3,90.6,86.9,83.2,89.4,83.8,84.5,82.7,84.4,90.2,90.7,95.7,92.2,94.9,103.8,113,116.3,118.7,111.6,,,116.6,113.4,, 
Bahamas,,,,107.2,105.3,114.5,115.5,114.8,116.6,106.2,102.3,105.3,107.6,128.6,122,128.3,105.2,119.4,135.5,134.3,109.7,127.1,136.7,121.9,,,,,,160.4,,140.1,152.1,146.5,,117.8,141.2, 
Bahrain,,,42.5,42.1,48.6,50.6,49.6,47.7,57.2,57.9,61.6,69.6,79.5,88.5,100.8,91.8,92.5,92.8,97.3,88.2,,,,,,,,,94.7,87.2,,86.5,,,,,, 
Barbados,,,,127.2,119.6,127.2,129.9,132.2,126.5,110.1,125.9,134.9,127.7,138.1,121.6,105.1,127.1,,,,,126.7,133,147.2,141.9,134.2,135.4,147.8,150.8,155.6,152.4,135.6,128.1,136.1,109.8,142.4,140,137.1 
Belarus,,,115.9,117.2,,124.5,126.6,125.9,128.2,127.3,,,,133,137.9,140.2,141.4,145.4,143.3,143.7,141.8,147.3,143.7,144.1,145.7,140.6,139.6,137.6,132.2,128.6,126.6,123.9,,,114.6,112.6,, 
