"ASDR per 100 000 - Total deaths, ICD chapter 3 (Diseases of blood and immune mechanism), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,14.3,6.2,6.7,9.6,,,12.1,5.2,13.9,4.5,11.7,12.4,13.1,10,9,9.8,7.3,11.3,,,,,,,,,,,,,,,,,,, 
Argentina,,2.3,2.3,2.3,2.3,2.1,2.1,2,1.9,2.1,1.9,2.1,2.4,2.6,2.3,2.4,2.4,2.6,2.5,2.4,,,,,,,,,,,,,,,,,, 
Armenia,0.8,0.4,0.5,0.6,0.7,0.6,0.6,0.4,0.4,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,,2.4,2.1,2.2,2.1,1.4,2.6,2.5,1.7,1.7,2.8,0.7,4.8,5.3,0,1.1,3.6,2.5,,,,,,,,,,,,,,,,,,,, 
Australia,,1.2,1.2,1.2,1.1,1.2,1,1.2,1.4,1.4,1.5,,1.5,1.4,1.4,1.4,1.4,1.6,1.6,,,,,,,,,,,,,,,,,,, 
Austria,0.9,1,0.9,1.1,1.1,1.2,0.8,1,1.1,0.9,0.9,0.9,0.6,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,, 
Azerbaijan,,,,,,,,,,2,,,1.8,3,2.6,2.7,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,,,,4.3,4.1,8.4,4.7,3.4,4.3,5,4.9,6.6,3.7,4.1,3.6,3.9,4.9,4.4,,,,,,,,,,,,,,,,,,,, 
Bahrain,,,4.6,6.3,6.1,7.1,5.7,3.6,5.5,5.3,3.3,5.5,7.6,8.7,7,6.2,3.7,5.6,4.8,8.4,,,,,,,,,,,,,,,,,, 
Barbados,,,,4.2,7.1,4.4,6.7,3.6,5.7,7.9,7.1,9.2,3.5,8.2,4.1,3.2,6.1,,,,,,,,,,,,,,,,,,,,, 
Belarus,,,0.6,0.5,,0.7,0.7,0.6,0.7,0.6,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,,1.3,1.2,1.5,1.7,1.4,1.5,1.5,1.5,1.5,1.4,1.5,1.6,1.6,1.7,1.6,1.6,1.3,1.2,,,,,,,,,,,,,,,,,,, 
Belize,,4.9,9,6.5,4,6.9,16.1,9.4,15.6,10.3,5.1,8.8,2.6,5.3,6.4,10.1,5.3,6.4,5.3,10,,,,,,,,,,,,,,,,,, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,0.6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,,3.1,3,3.3,3.4,3.5,3.6,3.6,3.6,3.6,3.6,3.4,3.5,3.9,3.9,4,3.8,3.8,3.4,3.4,3.3,,,,,,,,,,,,,,,,, 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,5.9,3.8,2.8,4.9,1.9,3.9,2,0.7,1.5,1.4,0.3,3,0.8,4.6,1.7,2.5,3,2.4,4.7,2,,,,,,,,,,,,,,,,, 
Bulgaria,,,1.3,1,1.1,1.1,1,1.2,1,1.5,1.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,, 
