"ASDR per 100 000 - Total deaths, ICD chapter 4 (Endocrine, nutritional and metabolic diseases), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,61,61,66.3,60.3,,,45.2,66.8,49,68.5,81.6,98.7,87.5,80.2,80.3,51.2,86.1,86.7,,,,,,,,,,,,,,,,,,, 
Argentina,,21.3,19.5,19.8,20.3,20.6,21,20.7,21,24.2,23.2,25.3,26.8,28.5,28,28.1,28.5,29.7,28.6,26.3,,,,,,,,,,,,,,,,,, 
Armenia,28.4,32.1,30.2,33,32.4,36.1,37.7,38.5,35.5,36.3,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,,34,32.9,28.1,29.8,27.3,33.5,36.4,44.1,35,34.9,44.1,39.4,38.3,35.4,42.6,35.3,33,,,,,,,,,,,,,,,,,,,, 
Australia,,14.1,13.5,13.7,13.7,14.3,13.7,14.8,15.1,14.3,14.6,,14.9,14.6,14.5,14.2,14.3,14.5,14.5,,,,,,,,,,,,,,,,,,, 
Austria,19.3,20.1,19.7,19.4,21,20.1,21.6,23.7,24.6,23.3,26.5,27.4,27.7,22.7,15.4,,,,,,,,,,,,,,,,,,,,,,, 
Azerbaijan,,,,,,,,,,11,,,20.7,20.5,22.2,21.4,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,,,,42.6,44.5,32.6,41.1,47.8,36.5,42.3,46.3,39.3,43.2,50.1,27.8,56,52.7,48.9,,,,,,,,,,,,,,,,,,,, 
Bahrain,,,96,105,71.9,74.6,73.1,52.8,60.9,67.9,100.6,71.9,70.9,62.6,74.2,68.5,59,64.6,65.1,67.1,,,,,,,,,,,,,,,,,, 
Barbados,,,,55.8,47.8,54.6,43,52.7,67.3,69.9,58.5,64.3,59.9,63.8,61.6,37.8,68.4,,,,,,,,,,,,,,,,,,,,, 
Belarus,,,2.3,2.3,,2.7,3.1,3.1,3,4,,,,4.5,5.8,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,,9.6,9.8,10.3,11.1,10.2,10.7,11.2,11.2,10.9,11.3,12.1,12.1,12.9,12.2,11.6,12.3,15,10.8,,,,,,,,,,,,,,,,,,, 
Belize,,106.4,101.7,96.8,96,102.6,126.2,97.3,89.6,101.7,126.2,96.2,87.6,77.2,73.7,78.2,86.9,77.4,68.3,52.2,,,,,,,,,,,,,,,,,, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,32.6,,,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brazil,,36.7,37.1,39.1,39.6,42.3,42.5,42,41.9,42,41.8,40.1,40.9,40.9,41,41.4,42.8,40,38,37.9,38,,,,,,,,,,,,,,,,, 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,68.4,70,67.6,70.4,62,56.5,59.7,59.5,84,72,75.2,55.8,78.4,76.1,73,75.5,67.9,61.7,50.6,55,,,,,,,,,,,,,,,,, 
Bulgaria,,,9.6,9,10.8,10.4,11.9,12.9,14.3,14.5,15,13.6,,,,,,,,,,,,,,,,,,,,,,,,,, 
