"ASDR per 100 000 - Total deaths, ICD chapter 7 (Diseases of the eye and adnexa), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,0.1,0.1,0.1,0.1,0.6,0.4,0.6,0.5,0.3,0.6,0.2,0.1,0.3,0.2,0.1,0.2,1.1,1.2,0,,,0,0,0,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,, 
Argentina,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0 
Armenia,0,0,0,0,0,0,0,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,0,,,0,,,,,,,, 
Australia,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Azerbaijan,,,,,,,,,,0.1,,,0,0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,,,,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,1.2,1.3,,0,0, 
Bahrain,,,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,0,,,,,, 
Barbados,,,,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Belarus,,,0,0,,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Belize,,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,0.1,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,, 
Brazil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,0,0.5,0,0.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,, 
Bulgaria,,,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Canada,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Cabo Verde,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0, 
Colombia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,, 
Costa Rica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0.1, 
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,, 
Cuba,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0 
Cyprus,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,, 
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,, 
Denmark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Egypt,,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.4,0.3,0.2,0.4,0.8,0.5,,,,,,,,0,0,,,,0,,,,,,,0.1, 
El Salvador,,,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,0.1,0.1,0,0,,,,,,0.1,0.2,0.1,0.1,, 
Estonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,,,,,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,0.4,0,,0,0,0,0.2,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,, 
Finland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,, 
France,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 
French Guiana,,,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0 
Georgia,,0.3,0.1,0.1,0,0,0,0,,0,0,0,0,,,0,0,0.1,0.1,,,,,,,,,,,,,,,,,,, 
Germany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,, 
Greece,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,1.9,,,,,, 
Guadeloupe,,,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,, 
Guatemala,,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.1,,0,,,0.2,0,0 
Guyana,,,,0,0,0,0,0.1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0,,,,0.7,,,,,0 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
