"ASDR per 100 000 - Total deaths, ICD chapter 8 (Diseases of the ear and mastoid process), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,0,0,0,0.1,0.1,0.2,0.2,0,0.2,0.1,0.2,0,0.1,0,0.1,0.1,0.8,0.5,0,,,0,0,0,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,0.9,0,0,0,,,0,1.4,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,, 
Argentina,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 
Armenia,0.1,0.1,0,0.1,0,0.1,0.1,0,0,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,0,,,0,,,,,,,, 
Australia,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2, 
Azerbaijan,,,,,,,,,,0,,,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,, 
Bahamas,,,,0,0,0,0,0,0,0,0,0.3,0.4,0,0.3,0,0.5,0,0,0,0,0.6,0,0,,,,,,0,,0,0,0,,0,0, 
Bahrain,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1.6,,0,,,,,, 
Barbados,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Belarus,,,0,0,,0,0.1,0.1,0.1,0.1,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,, 
Belgium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0 
Belize,,0,0,0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,2.5,0,,0,0,0,,0, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,0,,,0,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,0.1,0.1,0.2,0.2,,,,,, 
Brazil,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,0,0,0,0,0.2,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,, 
Bulgaria,,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.2, 
Canada,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0 
Cabo Verde,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.2, 
Colombia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,, 
Costa Rica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1, 
Croatia,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,,,,,, 
Cuba,,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1 
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,, 
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,,,,,,, 
Denmark,,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1 
Egypt,,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,,,,,,,,0,0.1,,,,0.1,,,,,,,0.1, 
El Salvador,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.2,0,0,0.1,,,,,,0,0.1,0,0,, 
Estonia,,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0.2,0,0.1,0.1,0,0.2,0,0.5,0.2,0.2,0.1,,,,,,,,,,,,,,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,0,0,,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,, 
Finland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,, 
France,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1 
French Guiana,,,0,0,0,0,0,0,0.5,0,0,0,0,0,1.7,0,,,,,,,,,,,,,,,,,,,,,,0 
Georgia,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0.1,0,,,,,,,,,,,,,,,,,,, 
Germany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,, 
Greece,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Grenada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,1.3,0,0,0,,,2.6,,,,,, 
Guadeloupe,,,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,,,,,,,,,,,,,,,,,,,0,, 
Guatemala,,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0,0.1,,0,,,0.1,0,0 
Guyana,,,,0,0.1,0,0,0.2,0.4,0,0.2,0,0,0,0.2,0,,0,0,0,0,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.5,,,,0.1,,,,,0.2 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Hungary,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.5,0.4,0.5,0.6,0.4,0.7,0.7,1 
Iceland,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,, 
Iran (Islamic Rep of),,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1 
Israel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.4,0.1 
Italy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0 
Jamaica,,,,,,0,0,0,,,0.1,0,0.1,0,0,0,0.1,,,,,,,,,0,0,0,0,0.2,0,0,,0.1,,0,0.1, 
Japan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,, 
Kiribati,,,,,,,,,,,,,,,,0,0.8,0,0.8,0,0,0,1.1,1.2,0.7,0,,,,,,,,,,,, 
Kuwait,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,,,,,,0,0,0,0,0.6,0,0,0,0 
Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,, 
Latvia,,0,0.1,0.1,0,0.1,0,0,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.3,,,,,,,,,,,,,,,,, 
Lithuania,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0.1,0.1,0,,,,,,,,,,,,,, 
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Macau,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,0,0,,0.3,0,,0,0,0,0,0,3.2,,,,,,,,,,,,,,,,,,,,, 
Malta,,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0.2,0,0,0,0,0 
Martinique,,,0.1,0,,0,0,0.1,0.4,0.2,0,0,0,0,0.3,0,0,,,,,,,,,,,,,,,0,,,0,0,, 
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,, 
Mayotte,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,0,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,0,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1 
Nicaragua,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Norway,,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,0.1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,0,0,0,0,0.1,0.2,0.2,0.1,0,0,0.3 
Paraguay,,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,,,0,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,,,,,,,,,,,,, 
Poland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3, 
Portugal,,,0,0,0,0,0,0.1,0,0.1,,,,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3, 
Puerto Rico,,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.1 
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,0,,,,,,,,,,,,,,,, 
Republic of Korea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,, 
Republic of Moldova,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.3,0.3,0.2,0.1,0.3,0.2,0.3,0.3,0.2,0.2,0.2,,,,,,,,,,,, 
Reunion,,,0,0,0,0.1,0,0.2,0.1,0,0,0.2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.4,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.5, 
Russian Federation,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,0,0.5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,,,0,,0.8,0.5,0 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,1.8,0,0,0,0,1.3,1,0,1.1,0,0,0,0.9,0,0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,,, 
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,, 
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,, 
Singapore,,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1,0 
Slovakia,,,0,0.1,0.1,,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0,0.1,,,,,,,,,,,,, 
Slovenia,,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0,0.1,0.2,0.1,,,,,, 
South Africa,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,, 
Spain,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Sri Lanka,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,0.2,0.7,0,0,0.1,0,0.1, 
Suriname,,,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0.2,0,0,0.2,0.2,0,,,0.4,0.4,0.2,0,0,0,0,0,0.5,,0,0,0.2,0.9 
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,,,,,,,, 
Switzerland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,, 
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,,,,,,,,,,,, 
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0 
Trinidad and Tobago,,,,,,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0.2,0.2,0,0.4,0.3,0.1,0.1,0.1,0.5,0.2,0.2,0.3,0.4,0.3,0.1,0 
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkey,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkmenistan,,0,0,0.1,0,0,0.1,0.2,0.1,0,0.1,0.1,0.1,0.3,0.4,0.1,0.3,0,,,,,,1.6,2.4,3.3,,,,,,,,,,,, 
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ukraine,,0.1,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Kingdom,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Uruguay,,0.1,0,0,0.1,,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.4,0.7,0.4,0.6, 
Uzbekistan,,,0,0,0,0,0,0,,,,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,, 
Venezuela (Bolivarian Republic of),,,,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,,0.2,0.2,0.1,0.2,0.2,0.2,,0.3,0.2,0.3,0.2,0.2 
Virgin Islands (USA),,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,,,,,,,,,,,,,,,,0, 
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Total reporting countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
