"ASDR per 100 000 - Total deaths, ICD chapter 9 (Diseases of the circulatory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Albania,,,,,,,184.5,265,279,239.4,281.1,294.5,312.6,328.6,298.9,277.2,349.8,288.9,314.3,281.1,315,290.5,236.3,264.4,289.7,,,339.1,333.6,331.4,,,,,,,, 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,,190,227.1,183.8,185.5,,,156,217.8,189.1,207.3,237.3,219.5,236.1,196.5,210.2,191.9,267.8,252.9,,,242.9,243.3,277.1,286.3,249.4,284.2,225.7,287,290,284,315.3,,,,,, 
Argentina,,152.5,148.7,155,161.8,166.6,172.3,163.4,168,181.1,176.5,181.5,188.3,200.9,206.1,209.3,211.5,232.1,230.4,226.7,287.5,305.8,295.6,328.8,336.1,331.4,347,341.5,353.7,379.2,378.5,380.3,410.7,402.2,370.1,380.6,381.3,417.4 
Armenia,306.3,296.7,312.7,307.9,322.8,323.6,344,349.9,403,354,364.1,,,463.4,461.4,330.9,332.7,358,350.2,376.6,405.9,420.9,411.1,479.2,451.3,421.8,425,423,401.3,387.4,382.3,386,,,363.1,324.5,, 
Aruba,,154,144.8,131.5,141.8,160.3,160.3,157.6,137.3,143,168.7,134.9,180.2,180.6,181.5,152.8,289.7,239.7,,,,261.6,,,,,223.3,,,163.6,,,,,,,, 
Australia,,85.6,88,87.8,91.2,97.6,99.7,104.7,113.7,113.9,119.4,,129.1,134.5,142.6,147.3,154.1,165.1,173.8,182,193.2,197.3,212.8,212.2,226.6,227.4,239.6,261.9,257.7,272.1,276.9,301.1,305.5,308.7,331.6,333.9,347,356 
Austria,130.9,141.6,135.5,143.3,144.7,143,150.7,155.2,154.7,163.6,167.8,175.2,180.5,197,209.4,222.6,235.9,253.5,260.6,267,274.3,275.3,275.8,286.5,291.2,295.6,290.8,302.8,311.3,320.6,337.7,350.9,350.6,378.7,369.7,379.6,384.3, 
Azerbaijan,,,,,,,,,,416.5,,,475.9,484.5,469.9,457.9,493.9,464.1,452.8,453.5,466.3,490.8,479.1,490.3,463.5,447.4,428.8,434.3,493.1,470.8,446.6,459.3,,,435.8,432.3,, 
Bahamas,,,,165.1,170.1,205.1,209.9,215.6,203.6,189.9,187.7,222.7,226.4,206,246.8,235.3,226.2,221.6,244.8,262.4,213.9,251.6,223.1,238.4,,,,,,240.1,,262.1,199.8,204.1,,289,342.6, 
Bahrain,,,120.9,158.1,166.4,168.1,166.1,125.7,142,143.6,147.3,158.7,203.2,234.1,206.8,210.2,218.4,232.6,231,278.9,,,,,,,,,355.8,319.1,,269,,,,,, 
Barbados,,,,152.7,140.1,153,146.8,161.5,171,167.3,161.5,164.8,160.9,203.3,171,137.4,213.3,,,,,244,250.5,243,250.2,234.8,246,267.5,275.1,273.9,281,313.1,296.4,292.8,274.2,328.6,367.8,386.7 
Belarus,,,395.4,394.8,,434.5,458.3,455.2,445.2,447.4,,,,526.1,535.8,524.8,498.2,525.2,495.3,483.1,526.3,471.5,463.3,460.8,405.9,410.2,411,426.3,453.8,457,446.3,492.2,,,432.7,430.8,, 
Belgium,,99.2,97,104,107.3,109.4,117.1,121.3,126.9,130.9,134.5,145.6,152.7,162.8,165.2,164.3,173.6,172.4,177,182.4,189,191.7,194.6,205.7,199.3,205.6,212.4,222.4,227.6,238,256.3,269.8,280.8,300.3,300.4,306.4,309.9,304.5 
Belize,,235.4,213.4,197.3,213.5,219.8,234.2,263.6,219,251.4,265.8,274.8,261.6,268.5,243.6,235.2,518.6,250.6,280.1,254,210.3,228.9,219.1,238.6,,224.9,197.4,180.9,,139.1,174.1,,291.6,251.1,286.8,,292.8, 
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Bosnia and Herzegovina,,,279.2,,,320.9,,,,,,,,,,,,,,,,,,,,402.3,409.1,429.2,413,393.6,350,346.2,,,,,, 
Brazil,,167.5,169.9,176.9,181.7,191.9,197.3,201.2,207.3,210.9,217,213.9,223.3,223.5,228.4,235.5,245.7,250.2,258.8,263.6,276.7,285.7,292,299.4,293.6,296.4,322.6,237.1,248.5,237.9,281.6,291.2,289.9,284.7,297.5,304.4,305.3,292.8 
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Brunei Darussalam,,121.6,173.2,155.3,121,139.9,155.1,171.7,179.2,192,211.5,198.4,209.1,294.3,286.4,221.8,231,230.8,250.4,196.3,216.1,,,,,,,,,,,,,,,,, 
Bulgaria,,,421.2,404.2,428.6,446.6,465.4,453.6,457.7,483.8,500.1,507.3,514.4,533.1,540.6,532.5,552.1,538,601.6,604.8,559.4,543.3,529.8,530.7,509.7,524.6,519.2,520.3,526.7,534.3,541.7,541.9,500.2,496.6,492.4,473.7,480.6, 
Canada,,,,87.9,88.5,90.4,95.7,100.3,105.4,108.9,111.4,120.3,125.9,132.6,137,142,149.1,159.7,165.2,170.5,175.8,176.9,182.2,188.9,188.5,197.3,203.1,216.5,226.1,231.8,244.1,245.4,252.9,263.2,286.7,282.9,296.6,302 
Cabo Verde,,,,,,207.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Chile,,114.8,117.8,120.6,122.3,120.5,131.5,124.7,124.5,135.3,134.6,141.2,145.9,148.5,145.4,152.2,153.4,164,164.7,160.3,172.7,176.9,192,205.9,210.6,215.3,224.5,217,223.9,228.8,241.2,257.8,266.9,239.5,256,258.1,272.4, 
Colombia,,162.3,159.5,156.6,159.1,159.9,168.7,168.6,179.7,183,192,193.9,194.1,197.4,197.4,202.5,212.5,212.1,200.4,214.4,239.4,235.9,245.5,247.4,250.4,261.5,264.1,200.7,201.4,200.8,337.7,375.7,345.8,,,,, 
Costa Rica,,,112.9,109.8,118.5,117.8,127.1,113.9,115.2,121.4,129.5,128.8,140.8,138.3,145.1,164.1,167.1,168.8,162,164.1,181.6,228.5,237.1,235,236.7,223.2,208.7,243.2,258.8,239.7,250.9,261.4,244.1,188.3,249.8,221.9,229.8, 
Croatia,214.6,242.9,231.2,238.3,252.6,258.4,273.5,285.2,296.9,308.1,308.4,323.8,311.3,367.7,355.4,360.3,418.5,424.1,430.2,407.8,403.2,363.4,374.5,384.2,372,393.2,411.9,424.2,426.6,439.6,436.9,437.4,,,,,, 
Cuba,,174.9,176.2,172.9,174.6,176.3,198.7,192.1,199.6,193.6,200.1,218.7,210.3,210.2,205.6,228.6,227.7,242.4,242.1,244.7,273.5,272.4,274.4,278.1,276.5,270.7,281.8,273.4,322.3,287.7,300.4,307.7,286.6,321.5,304.4,326.5,309,304.7 
Cyprus,111.5,130.5,122,118.4,135.2,141.3,133.2,137.9,150,160,162,174.5,171.2,,,,188.5,159.6,,,,,,,,,,,,,,,,,,,, 
Czech Republic,195,213.1,208.4,227.1,238.5,243.8,253.1,262.2,261.9,272.7,284.2,307.7,316.6,338.8,335.6,336.5,342.3,361.5,368.8,391.2,394.6,416.6,417.6,429,440.1,459,481.3,480.3,472.6,489.4,503.1,,,,,,, 
Denmark,,90.4,89,95.2,99.7,102.1,113.5,117.4,122.1,132.2,142.5,149.5,160.4,172.6,178.7,184.1,183.1,197.9,194.4,203.2,211.9,234,232.3,,,,,,,,,,,,,,, 
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ecuador,,104.1,103.3,106.6,109.8,107.8,111.1,110.2,121.2,120.6,123.5,123.3,121.2,130.6,139.1,139.4,145.9,152.4,150.5,140.1,141.3,135.4,172.7,162.2,166.4,182.4,163.2,113.4,188.7,182.5,202.3,210.5,204.5,121,199.6,113.5,199.3,197.7 
Egypt,,543.7,525.6,360,412,396.3,416.4,414.5,819,967.6,980.8,780.6,778.6,394.2,383.9,366.3,340.5,,,,,,,,463.4,480.8,,,,441.1,,,,,,,277.5, 
El Salvador,,,95.3,93.6,99.3,113.5,114.7,116.5,117.5,115.1,126.9,128.4,130.8,137.8,136.9,147.8,154.4,151.2,119.9,113.9,186.9,168.8,,187.8,189.9,162.9,175,,,,,,121.6,127.2,115.5,87.4,, 
Estonia,,234.8,249.6,257.8,266.8,270.8,299.8,311.1,332.7,341.8,356.5,364.6,377.1,403.6,411.1,412.6,418.5,436.6,464,441.7,466.8,512.5,546.3,532.1,510.9,497.9,520,503.2,528.7,534,534.4,580.1,,,532.7,552.5,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,388.8,435.3,,498.7,412.9,414,461.7,527.9,498.3,572.5,578.4,686,,,,,,,,,,,,,,,,,,,,,, 
Finland,,128.5,133,137.1,145.8,149.4,156.8,160.6,164.6,169.9,172.6,177.2,183.5,195.7,202.9,204,216.7,221.6,227.7,233.2,242.9,263.4,262.1,287.5,291.2,298.4,309.6,312.9,324.5,332.8,,,,,,,, 
France,,,70.9,74.1,77.2,78.5,83.5,87.3,91.4,93.5,97.5,104.8,106.6,117.5,117.8,120.4,123.2,128.3,131.9,129.9,134.3,135.2,135.4,143.6,144.8,151.2,152.6,159.8,166.8,175.9,196.6,197,195.4,204.5,205.3,212.8,219.7,221.6 
French Guiana,,,84.7,81.3,96.3,84.6,101.8,105.7,129.1,114.7,114.3,144,125.3,169.3,162.1,141,,,,,,,,,,,,,,,,,,,,,,308.6 
Georgia,,309.6,292.8,224,244.2,222.7,188.3,362,,403.2,425.7,435.1,515.6,,,480.6,508.8,495.9,486.5,465.6,421.4,472.9,400.8,,515,486.2,471.6,489.6,506.7,502.4,506.6,516.7,,,493.4,501.8,, 
Germany,,139,135.6,145.5,142.6,143.6,152.6,158.9,163.3,169.6,175.3,185.8,192.5,209.8,209.1,209.8,215.1,226.7,234.3,239.5,247.9,254.4,260.5,271.2,272.9,287.9,295.7,,,,,,,,,,, 
Greece,,138.8,138.8,146.5,160.4,161.5,167.7,179.1,189,200.5,207.4,214.1,229.1,238.3,237.5,241.7,248.3,250.7,257.7,254.2,259.8,262,258.4,251.8,262,271.3,275.8,276.4,280.5,290,280.9,281.1,261.6,272,262.2,262.1,270.6,258.9 
Grenada,303.1,260.1,338.1,275.4,279.3,269.7,297.6,278.9,316.3,253.3,282.2,322.2,334,293,335.2,231.2,,,,,277.8,313.4,343.4,321,294.4,335,375.5,337.1,312.8,,,346.5,,,,,, 
Guadeloupe,,,78.9,74.3,75,89.1,90.8,102.6,96.8,100.2,116.2,125.4,130.8,122.6,137.2,129.9,136.4,,,,,,,,,,,,,,,,,,,234.1,, 
Guatemala,,126.8,131.3,129.1,132.3,132.2,127.3,123.1,139.1,148.1,142.7,134.3,125.3,152.4,119.5,129.5,132.7,158,174.8,159.8,156.6,172.9,178,158.6,150.1,142.4,140.5,93.2,97,91,93,,149,,,100.8,92.7,101.7 
